施設・事業名,緯度,経度
きゃんばす東神奈川保育園,35.478123,139.637069
たいせつ保育園,35.477244,139.629728
メリー★ポピンズ東神奈川ルーム,35.477978,139.632783
反町ひかり保育園,35.477273,139.628093
いずみ東白楽保育園,35.479334,139.62907
めばえ横浜保育園,35.483941,139.629549
キッズパートナー六角橋,35.486296,139.623226
グローバルキッズ白楽園,35.487302,139.622816
スターチャイルド≪白楽ナーサリー≫,35.488333,139.62364
あおぞら第２保育園,35.49033,139.620184
マフィス白楽ナーサリー,35.489247,139.626292
スターチャイルド≪岸根公園ナーサリー≫,35.494634,139.619931
白楽あいいく保育園,35.490042,139.627792
キッズラボ白楽園,35.487407,139.628623
白幡フレール保育園,35.49233,139.631821
白幡保育園,35.49048,139.637076
キッズパートナー妙蓮寺,35.494071,139.635963
横浜市松見保育園,35.495889,139.640687
ブライト保育園横浜松見町,35.500738,139.64236
ひびき保育園,35.495983,139.644004
西寺尾保育園,35.497508,139.651273
神ノ木保育園,35.495905,139.648385
グローバルキッズ大口園,35.495565,139.646423
横浜大口雲母保育園,35.494083,139.647779
聖徳保育園,35.488472,139.645289
きゃんばす子安台保育園,35.492857,139.655763
ゆうゆうきっず横浜,35.489058,139.648937
なないろきっど保育園,35.485652,139.64773
グローバルキッズ新子安保育園,35.490048,139.656291
ゆうゆうきっず新子安,35.488362,139.656196
ＧＥＮＫＩＤＳバイリンガル保育園新子安,35.48946,139.660345
太陽の子　新子安保育園,35.486153,139.65611
グローバルキッズ新子安第二保育園,35.488319,139.653013
浦島保育園,35.483225,139.640494
白百合乳児保育園,35.482734,139.640369
第二白百合乳児保育園,35.482514,139.638672
グローバルキッズ子安駅前保育園,35.483302,139.64377
ＹＭＣＡ東かながわ保育園,35.469793,139.638771
ナーサリー横浜ポートサイド,35.467151,139.62923
横浜すきっぷ保育園,35.469517,139.626502
ひびき金港町保育園,35.469978,139.626938
ウィズブック保育園青木町,35.471172,139.628676
認定こども園捜真幼稚園,35.481489,139.61771
うちゅうこども園たんまち,35.473593,139.624787
保育ルーム　岸根公園前,35.49228,139.61323
こころベイビー,35.487993,139.604639
みらいつばさ片倉町保育園,35.486812,139.603994
横浜シュタイナー保育園,35.477338,139.618939
京進のほいくえんＨＯＰＰＡ反町園,35.476968,139.627754
東神奈川ひかり保育園,35.477627,139.628692
キッズパートナー東白楽,35.479975,139.630718
横浜ノーベル保育園,35.480337,139.63137
ＳＵＮＮＹ　ＫＩＤ保育園,35.494487,139.64503
西寺尾チューリップルーム,35.500177,139.646652
京浜保育園パステル,35.490872,139.640637
リトルスカラー新子安保育園,35.489113,139.651742
キッズパートナー新子安,35.487095,139.65602
新町あいりす保育園（令和７年３月で閉園します）,35.481137,139.640577
おれんじハウス横浜駅前保育園,35.46937,139.628229
たいせつ横浜ポートサイド保育園,35.468164,139.629071
ポートサイド野ばな保育園,35.467151,139.62923
スターチャイルド≪横浜ステーションナーサリー≫,35.469337,139.624626
Yokohama Front Mutsumi Nursery,35.469146,139.612677
かわち保育ルーム（令和７年３月で閉園します）,35.410174,139.552963
こまつな保育園,35.467258,139.636195
横浜市南浅間保育園,35.454153,139.606679
トキワ保育園,35.446946,139.604372
利正寺保育園,35.45098,139.608048
浅間幼育園,35.465497,139.611411
むつみ愛児園,35.469146,139.612677
つくし愛児園,35.447575,139.6089
平沼保育園,35.453936,139.611373
あそびの杜保育園（分園含む）,35.449574,139.611
横浜みなとみらい保育園,35.462439,139.623061
にじいろ保育園みなとみらい,35.459471,139.630227
ポピンズナーサリースクールみなとみらい,35.458578,139.631381
ムーミン保育園,35.455222,139.607092
ほっぺるランド横浜岡野,35.459514,139.612116
グリーンポート桜木町保育園,35.459055,139.622878
ポピンズナーサリースクール横浜,35.459976,139.625209
ろぜっと保育園,35.452521,139.609853
桃の木保育園,35.454393,139.613932
キッズポケット木の葉保育園,35.464954,139.611423
マイ・ハート紅葉ヶ丘保育園,35.450993,139.625506
キッズパートナーみなとみらい,35.463696,139.632697
キッズポケット保育園,35.458754,139.61077
横浜岡野すきっぷ保育園,35.46362,139.614331
おはよう保育園　花咲町,35.456565,139.625049
みなとみらいくばがさ保育園,35.458368,139.633817
ウィズブック保育園戸部,35.453904,139.618844
