【令和６年７月１日時点】受入可能数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
鶴見区,14101,桑の実馬場保育園,1410052003241,0,0,0,-,-,-,0,2024-07-01,
鶴見区,14101,ひまわりニコニコ保育園,1410052005519,3,1,1,-,-,-,5,2024-07-01,
鶴見区,14101,リュミエール小規模保育園,1410052005139,-,4,0,-,-,-,4,2024-07-01,
鶴見区,14101,ＳＡＩＬ　ＫＩＤ保育園,1410052004769,1,0,2,-,-,-,3,2024-07-01,
鶴見区,14101,鶴見中央ハート保育園,1410052005170,7,,0,-,-,-,7,2024-07-01,
鶴見区,14101,鶴見ぬくもり保育園,1410052005493,1,2,0,-,-,-,3,2024-07-01,
鶴見区,14101,きらぼし保育園,1410052005121,2,1,0,-,-,-,3,2024-07-01,
鶴見区,14101,おれんじハウス鶴見保育園,1410052005162,0,0,0,-,-,-,0,2024-07-01,
鶴見区,14101,しおつるばしハート保育園,1410052004637,1,2,,-,-,-,3,2024-07-01,
鶴見区,14101,ひだまりの保育園,1410052005196,4,,1,-,-,-,5,2024-07-01,
鶴見区,14101,鶴見サンフラワー保育園,1410052005501,0,5,0,-,-,-,5,2024-07-01,
鶴見区,14101,鶴見なのはな保育園,1410052005451,0,0,0,-,-,-,0,2024-07-01,
神奈川区,14102,横浜市西菅田保育園,1410051018802,0,0,0,0,0,2,2,2024-07-01,
神奈川区,14102,保育園こりす,1410051014678,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,あおぞら菅田保育園,1410051025260,0,0,1,1,0,0,2,2024-07-01,
神奈川区,14102,羽沢保育園,1410051013886,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,アイン三枚町保育園,1410051019511,0,0,0,2,0,0,2,2024-07-01,
神奈川区,14102,コビープリスクールかたくら,1410051025484,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,Gakkenほいくえん片倉,1410051019503,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,空と杜の保育園かんだいじ,1410051027464,1,0,0,1,7,4,13,2024-07-01,
神奈川区,14102,あおぞら保育園,1410051017978,2,0,0,0,0,0,2,2024-07-01,
神奈川区,14102,ポピンズナーサリースクール片倉町,1410051019222,1,0,0,0,1,0,2,2024-07-01,
神奈川区,14102,横浜市神大寺保育園,1410051018794,0,0,0,0,4,5,9,2024-07-01,
神奈川区,14102,ポピンズナーサリースクール片倉町駅前,1410051026722,0,0,0,0,1,0,1,2024-07-01,
神奈川区,14102,スターチャイルド≪片倉町ナーサリー≫,1410051027936,0,0,0,5,6,0,11,2024-07-01,
神奈川区,14102,こころキッズ,1410051026607,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,スターチャイルド≪三ッ沢上町ナーサリー≫,1410051024958,0,0,0,1,1,0,2,2024-07-01,
神奈川区,14102,三ツ沢保育園,1410051025195,0,2,2,0,1,2,7,2024-07-01,
神奈川区,14102,フレール保育園,1410051024156,0,0,0,0,0,3,3,2024-07-01,
神奈川区,14102,いずみ松本町保育園,1410051023745,0,0,0,1,0,0,1,2024-07-01,
神奈川区,14102,アイン松本町保育園,1410051017952,0,0,0,3,1,2,6,2024-07-01,
神奈川区,14102,いずみ反町保育園,1410051013654,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,アイン高島台保育園,1410051018026,0,0,0,0,1,0,1,2024-07-01,
神奈川区,14102,Gakkenほいくえん反町,1410051024768,0,0,0,2,1,1,4,2024-07-01,
神奈川区,14102,いずみ反町公園保育園,1410051024438,0,0,0,3,1,1,5,2024-07-01,
神奈川区,14102,小鳩保育園,1410051016293,3,3,1,3,3,0,13,2024-07-01,
神奈川区,14102,小鳩保育園分園,1410051016285,0,0,1,3,7,3,14,2024-07-01,
神奈川区,14102,エンゼル保育園,1410051018570,0,0,0,2,2,1,5,2024-07-01,
神奈川区,14102,かながわ保育園,1410051027035,0,0,0,0,3,2,5,2024-07-01,
神奈川区,14102,きゃんばす東神奈川保育園,1410051025708,3,0,1,0,4,5,13,2024-07-01,
神奈川区,14102,たいせつ保育園,1410051023638,4,1,4,0,0,0,9,2024-07-01,
神奈川区,14102,メリー★ポピンズ東神奈川ルーム,1410051016350,0,0,1,1,2,0,4,2024-07-01,
神奈川区,14102,反町ひかり保育園,1410051027266,0,0,0,2,4,5,11,2024-07-01,
神奈川区,14102,いずみ東白楽保育園,1410051013837,0,0,0,1,0,0,1,2024-07-01,
神奈川区,14102,めばえ横浜保育園,1410051015147,0,1,0,7,3,5,16,2024-07-01,
神奈川区,14102,キッズパートナー六角橋,1410051024792,0,1,0,3,2,2,8,2024-07-01,
神奈川区,14102,グローバルキッズ白楽園,1410051014660,0,0,0,1,3,4,8,2024-07-01,
神奈川区,14102,スターチャイルド≪白楽ナーサリー≫,1410051024941,0,0,0,1,3,0,4,2024-07-01,
神奈川区,14102,あおぞら第２保育園,1410051017960,0,0,1,0,0,1,2,2024-07-01,
神奈川区,14102,マフィス白楽ナーサリー,1410051026763,0,0,0,0,1,4,5,2024-07-01,
神奈川区,14102,スターチャイルド≪岸根公園ナーサリー≫,1410051024339,0,0,0,4,2,0,6,2024-07-01,
神奈川区,14102,白楽あいいく保育園,1410051018018,0,0,0,2,2,0,4,2024-07-01,
神奈川区,14102,キッズラボ白楽園,1410051024446,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,白幡フレール保育園,1410051016301,0,0,0,0,2,7,9,2024-07-01,
神奈川区,14102,白幡保育園,1410051013860,1,0,0,0,1,5,7,2024-07-01,
神奈川区,14102,キッズパートナー妙蓮寺,1410051025492,1,0,0,2,1,0,4,2024-07-01,
神奈川区,14102,横浜市松見保育園,1410051018810,2,0,0,1,3,3,9,2024-07-01,
神奈川区,14102,ブライト保育園横浜松見町,1410051024966,0,0,0,0,1,0,1,2024-07-01,
神奈川区,14102,ひびき保育園,1410051016327,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,西寺尾保育園,1410051016319,2,0,0,2,11,6,21,2024-07-01,
神奈川区,14102,神ノ木保育園,1410051013845,0,0,1,2,5,10,18,2024-07-01,
神奈川区,14102,グローバルキッズ大口園,1410051023521,2,0,0,0,0,3,5,2024-07-01,
神奈川区,14102,横浜大口雲母保育園,1410051025690,0,0,0,0,2,0,2,2024-07-01,
神奈川区,14102,聖徳保育園,1410051013852,1,1,6,0,2,8,18,2024-07-01,
神奈川区,14102,きゃんばす子安台保育園,1410051024834,3,0,0,0,2,0,5,2024-07-01,
神奈川区,14102,ゆうゆうきっず横浜,1410051013894,0,1,0,1,0,2,4,2024-07-01,
神奈川区,14102,なないろきっど保育園,1410051025351,0,2,0,0,5,2,9,2024-07-01,
神奈川区,14102,グローバルキッズ新子安保育園,1410051019529,0,0,0,0,3,0,3,2024-07-01,
神奈川区,14102,ゆうゆうきっず新子安,1410051024412,0,0,0,0,0,0,0,2024-07-01,
神奈川区,14102,ＧＥＮＫＩＤＳバイリンガル保育園新子安,1410051027415,0,0,0,0,0,3,3,2024-07-01,
神奈川区,14102,太陽の子　新子安保育園,1410051013878,0,0,0,0,0,1,1,2024-07-01,
神奈川区,14102,グローバルキッズ新子安第二保育園,1410051027209,0,0,0,0,0,5,5,2024-07-01,
神奈川区,14102,浦島保育園,1410051014652,0,0,0,2,1,0,3,2024-07-01,
神奈川区,14102,白百合乳児保育園,1410051017986,0,0,0,3,2,1,6,2024-07-01,
神奈川区,14102,第二白百合乳児保育園,1410051017994,1,0,0,0,7,1,9,2024-07-01,
