【令和６年７月１日時点】入所児童数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
戸塚区,14110,戸塚チューリップ保育園,1410052004603,3,6,7,-,-,-,16,2024-07-01,
戸塚区,14110,ぱぷりか保育園　戸塚,1410052005584,2,8,8,-,-,-,18,2024-07-01,
戸塚区,14110,ベイキッズひまわり保育園,1410052004116,2,4,4,-,-,-,10,2024-07-01,
戸塚区,14110,みんなのほいくえんａｔとつか,1410052005758,-,6,6,-,-,-,12,2024-07-01,
戸塚区,14110,横浜市汲沢保育園,1410051020295,-,15,16,17,17,17,82,2024-07-01,
戸塚区,14110,おおぞらひまわり保育園,1410051015287,9,10,12,14,15,15,75,2024-07-01,
戸塚区,14110,丘の上保育園,1410051023778,-,10,12,10,12,10,54,2024-07-01,
戸塚区,14110,幼保連携型認定こども園　みどり幼稚園,1410051024115,-,8,10,12,12,12,54,2024-07-01,
戸塚区,14110,横浜市原宿保育園,1410051020303,-,10,12,12,16,18,68,2024-07-01,
戸塚区,14110,小雀みどり保育園,1410051017655,6,10,12,12,10,12,62,2024-07-01,
戸塚区,14110,聖母の園保育園,1410051015964,-,18,22,19,17,17,93,2024-07-01,
戸塚区,14110,俣野保育園,1410051027019,8,9,12,11,18,16,74,2024-07-01,
戸塚区,14110,松みどり保育所,1410051017697,9,16,20,19,19,19,102,2024-07-01,
戸塚区,14110,幼保連携型認定こども園　南幼稚園,1410051022101,-,11,11,11,10,10,53,2024-07-01,
栄区,14115,横浜市飯島保育園,1410051020329,6,7,9,13,14,16,65,2024-07-01,
栄区,14115,横浜市公田保育園,1410051020337,-,12,13,13,14,15,67,2024-07-01,
栄区,14115,横浜市桂台保育園,1410051020352,8,15,18,18,18,18,95,2024-07-01,
栄区,14115,かつら愛児園,1410051017739,-,15,35,46,47,57,200,2024-07-01,
栄区,14115,大船ルーテル保育園,1410051017721,12,28,29,30,31,31,161,2024-07-01,
栄区,14115,いいじまルーテル保育園,1410051014561,3,10,11,10,10,10,54,2024-07-01,
栄区,14115,やまゆり保育園,1410051017747,9,24,24,24,24,22,127,2024-07-01,
栄区,14115,エミールの森ひよこ保育園,1410051020428,0,4,7,8,4,6,29,2024-07-01,
栄区,14115,かさまの杜保育園,1410051018471,12,23,24,25,25,24,133,2024-07-01,
栄区,14115,ベネッセ　本郷台保育園,1410051015295,6,11,11,11,10,8,57,2024-07-01,
栄区,14115,アスク大船保育園,1410051014553,6,12,12,13,14,12,69,2024-07-01,
栄区,14115,杜ちゃいるど園,1410051019784,8,14,14,15,16,16,83,2024-07-01,
栄区,14115,ふぁみりーさぽーと　のあ,1410051024495,4,8,8,8,8,8,44,2024-07-01,
栄区,14115,すずかけ保育園,1410051024214,12,24,24,-,-,-,60,2024-07-01,
栄区,14115,ニチイキッズさくら本郷台保育園,1410051026698,3,12,12,14,14,14,69,2024-07-01,
栄区,14115,上郷いちい保育園,1410051027787,-,9,12,14,14,12,61,2024-07-01,
栄区,14115,認定こども園　いのやま保育園,1410051020493,6,10,11,11,11,11,60,2024-07-01,
栄区,14115,認定こども園　中野どんぐり保育園,1410051020501,5,10,11,13,11,10,60,2024-07-01,
栄区,14115,認定こども園　飯島東保育園,1410051023802,3,10,10,11,11,11,56,2024-07-01,
栄区,14115,チューリップ保育室,1410052004090,0,11,8,-,-,-,19,2024-07-01,
栄区,14115,芸術の森保育園,1410052003191,6,6,6,-,-,-,18,2024-07-01,
栄区,14115,ふれあいの家　にこにこ保育園,1410052004462,5,8,9,-,-,-,22,2024-07-01,
栄区,14115,マームゆりかごおおふな保育園,1410052005022,0,7,7,-,-,-,14,2024-07-01,
栄区,14115,すまいるおおふな保育園,1410052005568,3,8,8,-,-,-,19,2024-07-01,
栄区,14115,なないろ保育室　,1410052005774,2,5,8,-,-,-,15,2024-07-01,
栄区,14115,アップルミントおおふな保育園,1410052005915,-,8,6,-,-,-,14,2024-07-01,
栄区,14115,トモキッズナーサリーかさま園,1410051027969,-,8,10,10,5,0,33,2024-07-01,
栄区,14115,チームナーサリーBigHug本郷台,1410052006020,-,9,10,-,-,-,19,2024-07-01,
泉区,14116,横浜市和泉保育園,1410051019180,11,15,17,23,19,27,112,2024-07-01,
泉区,14116,ＧＥＮＫＩＤＳいずみ中央保育園,1410051027431,5,10,10,10,10,10,55,2024-07-01,
泉区,14116,白梅いずみ保育園,1410051017796,6,12,14,13,14,13,72,2024-07-01,
泉区,14116,にじいろ保育園いずみ中央,1410051016087,7,8,10,10,10,10,55,2024-07-01,
泉区,14116,鳩の森愛の詩保育園,1410051016103,9,16,20,30,30,30,135,2024-07-01,
泉区,14116,鳩の森愛の詩あすなろ保育園,1410051016095,12,23,23,23,23,23,127,2024-07-01,
泉区,14116,横浜ルンビニー保育園,1410051018497,0,16,22,21,19,19,97,2024-07-01,
泉区,14116,ＧＥＮＫＩＤＳ緑園都市保育園,1410051027449,4,12,12,12,11,12,63,2024-07-01,
泉区,14116,小学館アカデミーりょくえんとし保育園,1410051027860,6,9,10,12,13,14,64,2024-07-01,
泉区,14116,緑園なえば保育園,1410051016129,6,18,20,27,26,27,124,2024-07-01,
泉区,14116,泉の郷保育園いずみ,1410051023695,3,12,12,15,14,15,71,2024-07-01,
泉区,14116,エンゼルおおぞら保育園,1410051017762,6,12,14,16,16,16,80,2024-07-01,
泉区,14116,立場エンゼル保育園,1410051015303,6,9,9,8,9,9,50,2024-07-01,
泉区,14116,中田保育園,1410051017812,4,12,10,11,7,10,54,2024-07-01,
泉区,14116,もも保育園,1410051016111,4,9,12,13,13,13,64,2024-07-01,
泉区,14116,泉の郷保育園なかだ,1410051025104,3,11,11,14,13,13,65,2024-07-01,
泉区,14116,御霊神社保育園,1410051017770,4,10,16,20,20,20,90,2024-07-01,
泉区,14116,白梅保育園,1410051017820,4,12,12,12,12,11,63,2024-07-01,
泉区,14116,白百合愛児園,1410051017804,12,39,42,43,43,43,222,2024-07-01,
泉区,14116,領家キッズ保育園,1410051014587,6,16,18,20,20,20,100,2024-07-01,
泉区,14116,ＹＭＣＡ山手台保育園アルク,1410051018489,8,10,11,10,10,10,59,2024-07-01,
泉区,14116,くるみ保育園,1410051015089,6,24,25,27,28,26,136,2024-07-01,
泉区,14116,苗場保育園,1410051016079,6,12,12,13,14,13,70,2024-07-01,
泉区,14116,ふたば保育園,1410051015311,10,20,22,22,22,22,118,2024-07-01,
泉区,14116,横浜市北上飯田保育園,1410051019172,3,12,14,10,10,10,59,2024-07-01,
泉区,14116,いちょう保育園,1410051017754,2,2,11,7,8,9,39,2024-07-01,
泉区,14116,横浜文化保育園,1410051017838,12,24,29,28,23,26,142,2024-07-01,
泉区,14116,認定こども園　ＹＭＣＡいずみ,1410051026821,5,22,22,19,22,22,112,2024-07-01,
泉区,14116,認定こども園  泉ヶ丘幼稚園,1410051025062,-,8,10,10,9,7,44,2024-07-01,
泉区,14116,認定こども園  いづみ幼稚園,1410051025088,-,8,9,10,10,11,48,2024-07-01,
泉区,14116,認定こども園　岡津幼稚園,1410051023935,-,-,-,0,0,0,0,2024-07-01,
泉区,14116,なかよしこども園,1410051025187,3,5,7,10,12,8,45,2024-07-01,
